company_name,stock_ticker,company_location,current_stock_price,description,Industry,Founded,Headquarters,Country/Territory,CEO and Chair,Employees,Revenue,Assets,Profits,Previous Close,Open,Day’s Range,Volume,52 Week Range,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Price to Tangible Book Value (ttm),Total Enterprise Value to EBIT (ttm),Total Enterprise Value to EBITDA (ttm),Total Enterprise Value to Total Revenue (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),EBITDA Growth (y/o/y),Diluted EPS Growth (y/o/y),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Consensus Recommendation,Consensus Price,Range of Price Targets,Range of EPS,Consensus EPS,Consensus Revenue,Range of Revenue,Chief Executive Officer,CEO,CEO and President,Chairman,"Chair, CEO and Founder",Chairman of the board,Group CEO and President,Chairman and CEO,Vice Chairman,"CEO, President, and Chair","CEO, Director, and Deputy Party Committee Secretary",Co-CEO,"CEO, President, and Founder",President and CEO,"President, Canada",Chief Executive Officer,Co-CEOs & Co-Presidents,President,"Chairman, President and CEO",Executive Chair and CEO,President & CEO,CEO & Co-Founder,Co-CEOs,CEO & Founder,Chairman and Co-CEO,Chairman and Chief Executive Officer,"Co-Founder, Co-CEO and Chairman",Charter President,President & Representative Director,CEO and Chairman
McCormick,NYSE: MKC,"Hunt Valley, Maryland",$67.53,"McCormick & Co., Inc. engages in the manufacture, market and distribution of spices, seasoning mixes, condiments and other flavorful products to retail outlets, food manufacturers and foodservice businesses. It operates through the following segments: Consumer and Flavor Solutions. The Consumer segment operates by selling to retail channels, including grocery, mass merchandise, warehouse clubs, discount and drug stores, and e-commerce through the following brands: McCormick, Lawry's, Zatarain's, Simply Asia, Thai Kitchen, Ducros, Vahine, Schwartz, Club House, Kamis, Kohinoor and DaQiao. The Flavour Solutions segment provides products to multinational food manufacturers and foodservice customers. The company was founded by Willoughby M. McCormick in 1889 and is headquartered in Hunt Valley, MD. Read Less","Food, Soft Beverages, Alcohol & Tobacco",1889,"Hunt Valley, Maryland",United States,,"14,200",$6.4B,$13.2B,$666.2M,68.06,68.36,66.93 x 68.36,"2,292,180",59.13 x 94.39,$18.11B,26.80,23.80,2.52,1.56,2.47%,"Dec 28, 2023",2.72,3.58,N/A,20.77,16.84,3.40,37.56%,15.53%,10.22%,4.98%,13.91%,$6.66B,24.82,4.91%,$1.22B,9.60%,0.00,$166.6M,0.62,$4.7B,92.40%,0.65,Hold,71.13,57.00 to 87.00,2.79 to 3.00,2.84,$6.63B,$6.58B to $6.73B,Lawrence Erik Kurzius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Space Storage,NYSE: EXR,"Salt Lake City, Utah",$143.11,"Extra Space Storage, Inc. is a real estate investment trust. It operates through the following segments: Self-Storage Operations and Tenant Reinsurance. The Self-Storage Operations segment includes rents The Tenant Reinsurance segment consists of reinsurance of risks relating to the loss of good stored by tenants in the firm's stores. The company was founded by Kenneth Musser Woolley on April 30, 2004 and is headquartered in Salt Lake City, UT.",Business Services & Supplies,1977,"Salt Lake City, Utah",United States,,"4,781",$2B,$12.1B,$852.2M,141.42,145.85,141.50 x 146.45,"1,237,913",101.19 x 170.30,$30.24B,27.14,28.36,5.27,6.36,4.58%,"Dec 14, 2023",9.25,2.08,2.15,34.83,25.66,18.20,76.06%,52.25%,34.13%,3.84%,8.58%,$2.06B,15.48,23.07%,$1.6B,22.01%,-23.40,$264.73M,1.02,$11.19B,71.91%,2.43,Outperform,158.94,131.00 to 180.00,4.76 to 5.24,5.05,$2.78B,$2.61B to $2.85B,Joseph D. Margolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halyk Bank,,"Almaty, Kazakhstan",,"Halyk Savings Bank of Kazakhstan JSC engages in the provision of retail and corporate banking, leasing services, assets management, and insurance and brokerage services. It operates through the following business segments: Retail Banking, Corporate Banking, Small and Medium Enterprises (SME), and Investment Banking. The Retail Banking segment comprises of private banking services, private customer current accounts, savings, deposits, investment savings products, custody, credit and debit cards, consumer loans and mortgages to individuals, and cash and foreign currency related services. The Corporate Banking segment represents direct debit facilities, current accounts, deposits, overdrafts, loan and other credit facilities, foreign currency, and trade finance products to legal entities. The SME Banking segment offers bank services to SME clients including current accounts, deposits, overdrafts, loans and other credit facilities, documentary operations and guarantees, foreign exchange transactions and trade finance products. The Investment Banking segment covers the services on sale and purchase of securities on the market. The company was founded in 1923 and is headquartered in Almaty, Kazakhstan. Read Less",Banking,1923,Almaty,Kazakhstan,,"17,038",$3.8B,$30.9B,$1.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Umut Bolatkhanovna Shayakhmetova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metalurgica Gerdau,,"Porto Alegre, Brazil",,"Metalúrgica Gerdau SA engages in the production and sale of steel products. It also produces flat steels and iron ore. The company was founded by Joao Gerdau and Hugo Gerdau on February 1, 1901 and is headquartered in Porto Alegre, Brazil.",Materials,1901,Porto Alegre,Brazil,,,$15.7B,$15.1B,$751M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gustavo Werneck da Cunha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry Global Group,NYSE: BERY,"Evansville, Indiana",$59.57,"Berry Global Group, Inc. engages in the provision of value added engineered materials, nonwoven specialty materials and consumer packaging with customized solutions. It operates through the following segments: Consumer Packaging International, Consumer Packaging North America, Health, Hygiene & Specialties, and Engineered Materials. The Consumer Packaging International segment consists of containers, closures, dispensing systems, pharmaceutical devices and packaging, polythene films, and technical components. The Consumer Packaging North America segment consists of containers, foodservice items, closures, over caps, bottles, prescription vials, and tubes. The Engineered Materials segment consists of tapes and adhesives, polyethylene-based film products, can liners, and specialty coated and laminated products. The Health, Hygiene & Specialties segment consists of nonwoven specialty materials and films used in hygiene, infection prevention, personal care, industrial, construction, and filtration applications. The company was founded in 1967 and is headquartered in Evansville, IN. Read Less","Engineering, Manufacturing",1967,"Evansville, Indiana",United States,,"47,000",$13.5B,$16.6B,$720M,58.85,58.81,58.55 x 59.59,"601,052",53.83 x 69.94,$6.91B,12.86,7.69,4.63,1.02,1.87%,"Nov 30, 2023",0.56,2.08,N/A,14.07,8.16,1.29,18.19%,9.14%,4.51%,4.36%,17.06%,$12.46B,105.50,-10.91%,$1.96B,-4.43%,-20.32,$507M,4.37,$9.62B,289.00%,1.67,Outperform,75.23,64.00 to 89.00,7.15 to 8.38,7.74,$12.59B,$12.27B to $13.21B,Thomas Edward Salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attijariwafa Bank,,"Casablanca, Morocco",,"Attijariwafa Bank engages in the provision of international commercial banking services. It operates through the following business areas: Domestic Banking, Europe and Offshore; Specialised Financial Subsidiaries; International Retail Banking; and Insurance and Property. The Domestic Banking, Europe and Offshore business area includes Attijariwafa Bank SA, Attijariwafa Bank Europe, Attijari International Bank, and investment holding companies. The Specialised Financial Subsidiaries business area consists of Moroccan subsidiaries undertaking consumer finance, mortgage loan, leasing, factoring, and money transfer activities. The International Retail Banking comprises Attijari Bank Tunisie and the banks of the Sub-Saharan area. The Insurance and property covers Wafa Assurance. The company was founded in 1911 and is headquartered in Casablanca, Morocco. Read Less",Banking,1911,Casablanca,Morocco,,"20,583",$4.5B,$60.3B,$596.6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed El Kettani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valeo,,"Paris, France",,"Valeo SA is engaged in the design, production, and sale of components, integrated systems, and modules for the automobile industry. It operates through following business segments: Powertrain Systems, Thermal Systems, Comfort and Driving Assistance Systems and Visibility Systems. The Powertrain Systems segment deals with electrical, transmission, engine management, air management, and hybrid/electric vehicle systems. The Thermal Systems segment manufactures systems, modules, and components for climate control and front-end modules. The Comfort and Driving Assistance Systems segment develops interior controls, driving assistance, interior electronics, and access mechanisms. The Visibility Systems segment manufactures lighting and wiper systems. The company was founded on February 10, 1923 and is headquartered in Paris, France. Read Less",Consumer Durables,1923,Paris,France,,"110,300",$21.1B,$23.5B,$241.7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christophe Périllat-Piratoine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco-Nevada,,"Toronto, Canada",,"Franco-Nevada Corp. engages in the management of gold-focused royalties and streams portfolio. It provides investors with gold price and exploration optionality while limiting exposure to many of the risks of operating companies. The company was founded on October 17, 2007 and is headquartered in Toronto, Canada.",Materials,1983,Toronto,Canada,,45,$1.3B,$6.7B,$674M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul J. Brink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong Haid Group,,"Guangzhou, China",,"Guangdong Haid Group Co., Ltd. engages in the research and development, production, and marketing of aquatic, poultry and aquaculture feed premix. It also engages in the sale of feed materials, farm produce and sideline products, agency business, trading and purchase of grains, breeding, technology development and wholesale of livestock and aquatic products. The company was founded by Hua Xue and Ying Zhuo Xu in 1998 and is headquartered in Guangzhou, China.","Food, Drink & Tobacco",1998,Guangzhou,China,,"33,557",$15.8B,$6.6B,$434.5M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hua Xue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Aval,,"Bogota, Colombia",,"Grupo Aval Acciones y Valores SA engages in the provision of financial services and products. It operates through the following segments: Banco de Bogota, Banco de Occidente, Banco AV Villas, Banco Popular, Corficolombiana, and Other. The Banco de Bogota segment offers banking services and products. The Banco de Occidente segment focuses on the corporate customers, government and government-owned entities, and retail customers. The Banco AV Villas segment comprises of general purpose loans, payroll loans, and credit cards, and traditional line of mortgages. The Banco Popular segment provides financial solutions to government entities. The Corficolombiana consists of equity investments, investment banking, treasury operations, and financial services. The company was founded by Luis Carlos Sarmiento Angulo on January 7, 1994 and is headquartered in Bogota, Colombia. Read Less",Banking,1994,Bogota,Colombia,,"80,565",$6.6B,$61B,$582.8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Carlos Sarmiento Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charoen Pokphand Foods,,"Bangkok, Thailand",,"Charoen Pokphand Foods Public Co. Ltd. engages in the operation of agro-industrial and food businesses. It operates through the Livestock and Aquaculture Business segments. The Livestock Business segment comprises of chicken, ducks, and pigs. The Aquaculture Business segment consists of shrimp and fish. Its products include animal feed, animal farm products, and processed food and ready meals. The company was founded on January 17, 1978 and is headquartered in Bangkok, Thailand.","Food, Drink & Tobacco",1921,Bangkok,Thailand,,"360,000",$17.5B,$26.8B,$382.4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prasit Boondoungprasert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skanska,,"Stockholm, Sweden",,"Skanska AB engages in the provision of construction and project development businesses. It operates through the following segments: Construction, Residential Development, and Commercial Property Development. The Construction segment includes both building construction and civil construction. The Residential Development segment develops residential projects for immediate sale. The Commercial Property Development segment initiates, develops, leases, and diverts commercial property projects. The company was founded by Rudolf Fredrik Berg in 1887 and is headquartered in Stockholm, Sweden.","Construction, Chemicals, Raw Materials",1887,Stockholm,Sweden,,"30,000",$15.8B,$14.6B,$758.5M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anders Danielsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodyear Tires, GT,"Akron, Ohio",$12.50,"Goodyear Tire & Rubber Co. engages in the development, manufactures, distribution, and sale of tires. Its products include lines of rubber tires for automobiles, trucks, buses, aircraft, motorcycles, farm implements, earthmoving and mining equipment, industrial equipment and various other applications. The company was founded by Frank A. Seiberling on August 29, 1898 and is headquartered in Akron, OH.",Tire Brands,1898,"Akron, Ohio",United States,,"72,000",$20.8B,$23.2B,$5M,12.39,12.31,12.31 x 12.64,"3,235,392",9.86 x 16.50,$3.55B,N/A,10.03,-2.42,N/A,N/A,"Jan 31, 2020",0.18,0.76,1.22,21.47,6.35,0.57,17.47%,2.66%,-3.43%,1.52%,-13.34%,$20.07B,70.41,-3.55%,$1.5B,-16.86%,N/A,$902M,3.18,$8.65B,178.81%,1.07,Outperform,15.54,12.00 to 19.00,1.00 to 1.42,1.25,$20.19B,$19.56B to $20.63B,Richard J. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jyske Bank,,"Silkeborg, Denmark",,"Jyske Bank A/S engages in provision of banking products and services to private customers, small and medium-sized companies, and public institutions. It operates through the following segments: Banking-, Mortgage-, Leasing Activities, and Internal Allocation. The Banking Activities segment offers consultancy services on traditional financial solutions for private and corporate customers and trade and investments for corporate and institutional clients. The Mortgage Activities segment covers financial solutions for real estate funding. The Leasing Activities segment focuses on leasing and financing of vehicles as well as of tangible assets for commercial purposes. The Internal Allocation segment covers market-based and service allocations in determining unit price and transfer pricing. The company was founded on July 7, 1967 and is headquartered in Silkeborg, Denmark. Read Less",Banking,1967,Silkeborg,Denmark,,"3,854",$2.7B,$114.6B,$564.7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anders Christian Dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank Albilad,,"Riyadh, Saudi Arabia",,"Bank Albilad engages in the provision of sharia based banking, financing, and investment services. It operates through the following segments: Retail Banking, Corporate Banking, Treasury, Investment Banking and Brokerage, and Other. The Retail Banking segment includes services and products to individuals, including deposits, financing, remittances, and currency exchange. The Corporate Banking segment comprises of services and products to corporate and commercial customers, including deposits, financing, and trade services. The Treasury segment offers money market, trading, and treasury services. The Investment Banking and Brokerage segment consists of investment management services and asset management activities related to dealing, managing, arranging, advising, and custody of securities. The Other segment deals with other support functions. The company was founded on November 4, 2004 and is headquartered in Riyadh, Saudi Arabia. Read Less",Banking,2004,Riyadh,Saudi Arabia,,"4,494",$1.8B,$36.1B,$572.8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Aziz. Bin Mohammed Mohammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coloplast,,"Humlebaek, Denmark",,"Coloplast A/S develops, manufactures, and markets medical products. It operates through the following segments: Chronic Care, Interventional Urology and Wound & Skin Care. The Chronic Care segment covers the sale of ostomy care products and continence care products. The Interventional Urology segment covers the sale of urological products, including disposable products. The Wound & Skin Care segment covers the sale of wound and skin care products. The company was founded by Aage Louis-Hansen and Johanne Louise-Hansen in 1954 and is headquartered in Humlebaek, Denmark.",Health Care Equipment & Services,1957,Humlebaek,Denmark,,"14,572",$3.3B,$5.1B,$653.5M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kristian Villumsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan Pacific International Holdings,,"Tokyo, Japan",,"Pan Pacific International Holdings Corp. engages in the retail of home electrical appliances, miscellaneous household goods, food, watches, and fashion-related merchandises. It operates through the following segments: Retail Business, Tenant Leasing and Other Business. The Retail Business segment sells electrical appliances, daily commodities, foods, watches, fashion merchandise, sporting goods, leisure equipment, DIY products, and others. This segment includes Don Quijote, a large-scale convenience and discount store; MEGA Don Quijote, a general discount store for families; Nagasakiya, a GMS; and Doit, a DIY store. The Tenant Leasing Business segment recruits and manages tenants of retail properties. The Other Business segment includes real estate operations, marketing business, and financial services. The company was founded by Takao Yasuda on September 5, 1980 and is headquartered in Tokyo, Japan. Read Less",Retailing,1980,Tokyo,Japan,,"16,912",$14.4B,$11.2B,$521.3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naoki Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
